2010 TO 2020
-------#####------->    iporpr
iporpr-archive@ietf.org 266
iporpr-archive@lists.ietf.org 164
ipoverib-bounces@ietf.org 22
int-area@ietf.org 21
ipcdn-bounces@ietf.org 17
ipfix@ietf.org 13
ippm-bounces@ietf.org 13
delivers@amazon.com 12
ip1394-archive@lists.ietf.org 12
ipoverib-admin@ietf.org 12
ipoverib-request@ietf.org 12
ipoverib@ietf.org 12
ippm-admin@ietf.org 12
ippm@ietf.org 11
ipr-wg-bounces@ietf.org 11
ipcdn-owner@ietf.org 10
ipr-announce@ietf.org 10
ion-archive@lists.ietf.org 9
info@webmaster.pl 8
ipcdn-request@ietf.org 8
ipcdn@ietf.org 8
ipfix-owner@ietf.org 8
ipfix-request@ietf.org 8
ltru@ietf.org 8
ippm-owner@ietf.org 7
ippm-request@ietf.org 7
ipr-wg-admin@ietf.org 7
digital-no-reply@amazon.com 6
ipr-wg-request@ietf.org 6
ips-bounces@ietf.org 6
kink-archive@lists.ietf.org 6
picasawebalbums-noreply@google.com 6
info@systemuadministrator.pl 5
ion-archive@ietf.org 5
ipcdn-admin@ietf.org 5
ipdvb-archive@ietf.org 5
ipr-wg@ietf.org 5
ipr@ietf.org 5
l2vpn-admin@ietf.org 5
comercial@francisco-oliveira.com 4
internet-drafts-reply@ietf.org 4
internet-drafts@ietf.org 4
ips-admin@ietf.org 4
ipsec-request@ietf.org 4
Terrel.Folkes@ecolab.com 3
independent@ietf.org 3
noreply@pfizer.com 3
order-update@amazon.com 3
BINDERM@neumann.edu 2
SuperPfizer@core3.amsl.com 2
