2000 TO 2010
-------#####------->    spam
grow-archive@ietf.org 19
exec-director@ietf.org 15
dhcwg-archive@ietf.org 12
rmonmib-archive@ietf.org 12
rserpool-archive@ietf.org 12
nemo-archive@ietf.org 11
calsch-archive@ietf.org 10
nemo-owner@ietf.org 10
atompub-archive@megatron.ietf.org 9
mpls-archive@ietf.org 9
pana-archive@lists.ietf.org 9
rip-archive@ietf.org 9
ccamp-archive@ietf.org 8
enum-archive@ietf.org 8
ospf-archive@lists.ietf.org 8
pana-archive@ietf.org 8
sidr-bounces@ietf.org 8
tls-archive@ietf.org 8
directory-archive@ietf.org 7
tsvwg-archive@ietf.org 7
asrg-announce-request@ietf.org 6
forces-archive@ietf.org 6
grow-archive@megatron.ietf.org 6
hubmib-archive@ietf.org 6
ldapext-archive@ietf.org 6
manet-archive@ietf.org 6
megaco-archive@ietf.org 6
mipshop-archive@ietf.org 6
mipshop-request@ietf.org 6
mpls-archive@lists.ietf.org 6
msec-archive@ietf.org 6
pce-archive@ietf.org 6
rps-archive@ietf.org 6
syslog-archive@ietf.org 6
agentx-archive@ietf.org 5
agentx-archive@lists.ietf.org 5
dcpel@ietf.org 5
drums-archive@ietf.org 5
gsmp-archive@ietf.org 5
hubmib-archive@lists.ietf.org 5
ietf-announce-archive@ietf.org 5
ippm-archive@lists.ietf.org 5
ipsec-archive@lists.ietf.org 5
rddp-bounces@ietf.org 5
rohc-request@ietf.org 5
ssm-archive@ietf.org 5
ccamp@ietf.org 4
dnsop-archive@ietf.org 4
ietf-archive@ietf.org 4
imrg-archive@ietf.org 4
