2010 TO 2020
-------#####------->    dmarc-report
feedback@oneoffice.jp 5215
Inbound@paypal.com 1443
dmarcnon@virginmedia.co.uk 944
dmarc-noreply@linkedin.com 799
dmarc-support@alerts.comcast.net 713
dmarc_reporter@globalnoc.iu.edu 708
MAILER-DAEMON@esa-prod-01.creditlink.com.au 700
reporter@dmarc.andreasschulze.de 618
noreply-dmarc-support@google.com 588
postmaster@iit.cnr.it 577
postmaster+dmarcreports@ruhr-uni-bochum.de 557
DMARC_REPORT@rijksoverheid.nl 555
MAILER-DAEMON@sfo1inf-smtpp03.riverbed.com 523
MAILER-DAEMON@mx2.handelsbanken.se 498
MAILER-DAEMON@smtp2.infineon.com 459
MAILER-DAEMON@mx.handelsbanken.se 398
MAILER-DAEMON@smtp11.infineon.com 397
MAILER-DAEMON@johnshopkins.edu 373
MAILER-DAEMON@prodesa04.bah.com 366
MAILER-DAEMON@prodesa03.bah.com 348
MAILER-DAEMON@prodesa02.bah.com 331
MAILER-DAEMON@prodesa01.bah.com 313
abuse@yeah.net 303
MAILER-DAEMON@esa2.edoxs1.iphmx.com 298
MAILER-DAEMON@esa1.edoxs1.iphmx.com 292
MAILER-DAEMON@rcdn-inbound-e.cisco.com 290
MAILER-DAEMON@rcdn-inbound-d.cisco.com 289
MAILER-DAEMON@rcdn-inbound-g.cisco.com 289
postmaster@noloop.tana.it 289
MAILER-DAEMON@esa4.edoxs1.iphmx.com 288
MAILER-DAEMON@rcdn-inbound-a.cisco.com 284
MAILER-DAEMON@esa3.edoxs1.iphmx.com 282
MAILER-DAEMON@rcdn-inbound-i.cisco.com 282
MAILER-DAEMON@rcdn-inbound-j.cisco.com 281
MAILER-DAEMON@rcdn-inbound-f.cisco.com 279
MAILER-DAEMON@rcdn-inbound-h.cisco.com 274
MAILER-DAEMON@rcdn-inbound-l.cisco.com 272
MAILER-DAEMON@rcdn-inbound-m.cisco.com 272
MAILER-DAEMON@esa6.edoxs1.iphmx.com 270
MAILER-DAEMON@rcdn-inbound-k.cisco.com 270
MAILER-DAEMON@rcdn-inbound-b.cisco.com 266
MAILER-DAEMON@esa5.edoxs1.iphmx.com 263
MAILER-DAEMON@rcdn-inbound-c.cisco.com 263
postmaster@tana.it 256
noreply-dmarc-support@telenetgroup.be 253
noreply@dmarc-reports.xs4all.net 221
MAILER-DAEMON@rcdn-inbound-n.cisco.com 179
MAILER-DAEMON@sfo1inf-SMTPp04.riverbed.com 146
MAILER-DAEMON@dresa04.bah.com 95
MAILER-DAEMON@dresa03.bah.com 89
